Date,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6
14-Jul-20,191.8752888,265.0388541,751.0702653,45.57012183,19185.89146,1325.228938
15-Jul-20,191.4627685,264.647839,750.6872602,3.517104459,19142.2024,1322.982272
16-Jul-20,191.3931149,264.7264207,748.1847354,39.18191082,19133.92084,1323.410102
17-Jul-20,191.1076679,264.7963106,749.0871099,67.87545106,19104.74342,1323.721429
20-Jul-20,192.088096,265.128031,750.4117393,47.3790221,19204.7783,1325.632005
21-Jul-20,193.0225909,264.8570384,752.2841042,41.37495152,19292.71185,1324.08366
22-Jul-20,193.3565285,265.0361927,754.0049134,0.778800719,19333.35878,1325.145408
23-Jul-20,193.9685423,264.5366117,754.9341331,47.21902311,19396.81607,1322.490175
24-Jul-20,193.3325819,264.4785692,756.7744072,47.40568859,19331.10046,1322.214354
27-Jul-20,194.797847,264.9385806,758.0482158,30.35978114,19477.8332,1324.422976
28-Jul-20,194.7504853,264.5834599,758.1077543,70.98380702,19468.25281,1322.763798
29-Jul-20,194.3770101,264.429136,759.9837431,62.19075622,19433.24419,1321.80965
30-Jul-20,193.9070176,264.66941,761.3650083,9.793716011,19383.80637,1323.264137
31-Jul-20,194.6046035,264.9867844,763.0522579,22.77932856,19454.83224,1324.482228
03-Aug-20,193.9838633,263.8284821,756.2891084,65.33982437,19397.38384,1318.996414
04-Aug-20,194.9814896,263.6019965,756.807067,15.75092414,19496.74821,1317.839132
05-Aug-20,195.4177681,263.8979625,758.9061668,20.17071387,19536.47322,1319.040684
06-Aug-20,196.8902833,264.1741601,761.7468713,27.97928873,19684.20891,1320.598737
07-Aug-20,195.566658,264.0898732,756.7470845,23.18641838,19550.92356,1320.174124
10-Aug-20,196.5164513,264.193302,757.2347792,3.441653259,19649.42742,1320.949427
11-Aug-20,193.9681299,264.151051,746.757256,21.66077349,19395.21293,1320.321587
12-Aug-20,193.3864426,263.903729,745.9787971,47.52094089,19332.4247,1319.341139
13-Aug-20,193.9785434,263.5869047,746.2228785,25.92692674,19392.38004,1317.87947
14-Aug-20,193.1514546,263.111327,742.9926255,21.757747,19307.96872,1315.483737
17-Aug-20,194.3236859,263.3113976,744.7821273,71.74555083,19425.0131,1316.233453
18-Aug-20,194.4926378,263.1294062,747.887001,30.68833538,19445.06026,1315.405618
19-Aug-20,194.1061957,263.0083705,745.1031493,72.06232747,19404.86102,1314.847904
20-Aug-20,193.4256839,263.3856871,743.6279634,60.80092267,19341.40966,1316.782065
21-Aug-20,193.1194385,263.1214987,742.7323599,61.82964103,19311.59852,1315.577053
24-Aug-20,192.9015524,262.9904297,740.8986839,62.19494458,19283.75842,1314.629856
25-Aug-20,191.9203319,262.9885681,737.1011998,39.07348614,19183.29451,1314.508903
26-Aug-20,193.1585853,263.1165831,740.3953264,42.16638799,19307.54407,1315.36123
27-Aug-20,192.3703636,262.6731452,738.9563456,46.42180304,19231.48246,1313.053465
28-Aug-20,193.5525609,262.8965382,739.9906074,69.72013248,19349.20379,1314.513751
31-Aug-20,193.9601708,263.3849426,741.0992302,17.7177071,19389.14901,1316.8259
01-Sep-20,193.6614444,263.8138076,741.4599924,69.7367859,19358.94602,1318.880246
02-Sep-20,193.5303498,263.8122856,739.5876668,71.56129267,19347.0363,1318.971703
03-Sep-20,193.143098,263.5745926,738.0208938,4.161075798,19308.50695,1317.777328
